Food code,Food description
11411390,"The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, plain."
11411400,"The image shows the food category of yogurt, Greek, whole milk, plain."
11411410,"The image shows the food category of yogurt, Greek, low fat milk, plain. Additional details include 2% fat; 1% fat; 99% fat free; light."
11411420,"The image shows the food category of yogurt, Greek, nonfat milk, plain. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11430000,"The image shows the food category of yogurt, not specified subcategory as to type of milk, fruit."
11431000,"The image shows the food category of yogurt, whole milk, fruit."
11432000,"The image shows the food category of yogurt, low fat milk, fruit. Additional details include go-Gurt Portable Yogurt tube; 1% fat; 2% fat; 99% fat free; light."
11433000,"The image shows the food category of yogurt, nonfat milk, fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11433990,"The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, fruit."
11434000,"The image shows the food category of yogurt, Greek, whole milk, fruit."
11434010,"The image shows the food category of yogurt, Greek, low fat milk, fruit. Additional details include 2% fat; 1% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes."
11434020,"The image shows the food category of yogurt, Greek, nonfat milk, fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11434090,"The image shows the food category of yogurt, not specified subcategory as to type of milk, flavors other than fruit."
11434100,"The image shows the food category of yogurt, whole milk, flavors other than fruit."
11434200,"The image shows the food category of yogurt, low fat milk, flavors other than fruit. Additional details include 1% fat; 2% fat; 99% fat free; light; Go-Gurt Portable Yogurt tube."
11434300,"The image shows the food category of yogurt, nonfat milk, flavors other than fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11435000,"The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, flavors other than fruit."
11435010,"The image shows the food category of yogurt, Greek, whole milk, flavors other than fruit."
11435020,"The image shows the food category of yogurt, Greek, low fat milk, flavors other than fruit. Additional details include 1% fat; 2% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes."
11435030,"The image shows the food category of yogurt, Greek, nonfat milk, flavors other than fruit. Additional details include 0% fat; fat free."
11435100,"The image shows the food category of yogurt, Greek, with oats. Additional details include all types; with granola."
11436000,"The image shows the food category of yogurt, liquid. Additional details include all types and flavors."
11440010,"The image shows the food category of chipotle dip, yogurt based. Additional details include jalapeno dip; Southwest dip; greek yogurt based; regular or light."
11440030,"The image shows the food category of onion dip, yogurt based. Additional details include french onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light."
11440040,"The image shows the food category of ranch dip, yogurt based. Additional details include greek yogurt based; regular or light."
11440050,"The image shows the food category of spinach dip, yogurt based. Additional details include greek yogurt based; regular or light."
11440060,The image shows the food category of tzatziki dip. Additional details include greek dip.
11440070,"The image shows the food category of vegetable dip, yogurt based. Additional details include greek yogurt based; regular or light; dill."
11446000,"The image shows the food category of yogurt parfait, low fat, with fruit. Additional details include mcDonald's Fruit 'n Yogurt Parfait; with granola."
11459990,"The image shows the food category of frozen yogurt, not further specified subcategory assigned."
11460000,"The image shows the food category of frozen yogurt, vanilla. Additional details include other flavors; swirl; in a cup; scoop."
11460100,"The image shows the food category of frozen yogurt, chocolate. Additional details include in a cup; scoop."
11460500,"The image shows the food category of frozen yogurt, soft serve, vanilla. Additional details include other flavors; swirl; not specified subcategory as to flavor; in a cup."
11460510,"The image shows the food category of frozen yogurt, soft serve, chocolate. Additional details include in a cup."
11461200,The image shows the food category of frozen yogurt sandwich. Additional details include all flavors; prepackaged frozen yogurt cone.
11461210,"The image shows the food category of frozen yogurt bar, vanilla. Additional details include frozen yogurt bar, not further specified subcategory assigned; stick; other flavors; swirl; with or without coating."
11461220,"The image shows the food category of frozen yogurt bar, chocolate. Additional details include stick; with or without coating."
11461250,"The image shows the food category of frozen yogurt cone, chocolate. Additional details include scooped or soft serve."
11461260,"The image shows the food category of frozen yogurt cone, vanilla. Additional details include other flavors; swirl; scooped or soft serve."
11461300,"The image shows the food category of frozen yogurt cone, vanilla, waffle cone. Additional details include other flavors; swirl; scooped or soft serve."
11461320,"The image shows the food category of frozen yogurt cone, chocolate, waffle cone. Additional details include scooped or soft serve."
11480000,"The image shows the food category of baby Toddler food, not further specified subcategory assigned."
11480010,"The image shows the food category of baby Toddler yogurt, plain."
11480100,"The image shows the food category of baby Toddler yogurt, with fruit. Additional details include other flavors."
11511000,"The image shows the food category of chocolate milk, not further specified subcategory assigned. Additional details include not specified subcategory as to milk or drink."
11511100,"The image shows the food category of chocolate milk, ready to drink, whole."
11511200,"The image shows the food category of chocolate milk, ready to drink, reduced fat. Additional details include 2% fat."
11511300,"The image shows the food category of chocolate milk, ready to drink, fat free. Additional details include nonfat milk; skim."
11511400,"The image shows the food category of chocolate milk, ready to drink, low fat. Additional details include hershey's Chocolate milk; 1% fat."
11511550,"The image shows the food category of chocolate milk, ready to drink, reduced sugar, not specified subcategory as to milk. Additional details include truMoo; less sugar."
11511600,"The image shows the food category of chocolate milk, ready to drink, low fat (Nesquik). Additional details include not specified subcategory as to type of milk; regular, reduced, or less sugar; 1% fat."
11511700,"The image shows the food category of chocolate milk, ready to drink, low fat, no sugar added (Nesquik). Additional details include not specified subcategory as to type of milk; 1% fat."
11512010,"The image shows the food category of hot chocolate / Cocoa, ready to drink. Additional details include whole, 2%, or reduced fat milk; not specified subcategory as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar."
11512020,"The image shows the food category of hot chocolate / Cocoa, ready to drink, made with nonfat milk. Additional details include low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar."
11512030,"The image shows the food category of hot chocolate / Cocoa, ready to drink, made with non-dairy milk. Additional details include almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar."
11512100,"The image shows the food category of hot chocolate / Cocoa, ready to drink, with whipped cream. Additional details include whole, 2%, or reduced fat milk; not specified subcategory as to milk; evaporated milk; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar."
11513100,"The image shows the food category of chocolate milk, made from dry mix with whole milk."
11513150,"The image shows the food category of chocolate milk, made from dry mix with reduced fat milk. Additional details include 2% fat."
11513300,"The image shows the food category of chocolate milk, made from dry mix with fat free milk. Additional details include nonfat milk; skim milk."
11513310,"The image shows the food category of chocolate milk, made from dry mix with non-dairy milk. Additional details include almond, coconut, rice, or soy milk."
11513380,"The image shows the food category of chocolate milk, made from dry mix, not specified subcategory as to type of milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar."
11513381,"The image shows the food category of chocolate milk, made from dry mix with whole milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar."
11513382,"The image shows the food category of chocolate milk, made from dry mix with reduced fat milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar; 2% fat."
11513383,"The image shows the food category of chocolate milk, made from dry mix with low fat milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar; 1% fat."
11513384,"The image shows the food category of chocolate milk, made from dry mix with fat free milk (Nesquik). Additional details include nonfat milk; regular, reduced, or less sugar; 25% less sugar; skim."
11513385,"The image shows the food category of chocolate milk, made from dry mix with non-dairy milk (Nesquik). Additional details include almond, coconut, rice, or soy milk."
11513392,"The image shows the food category of chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik). Additional details include sugar free mix; 2% fat."
11513395,"The image shows the food category of chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik). Additional details include almond, coconut, rice, or soy milk."
11513400,"The image shows the food category of chocolate milk, made from syrup, not specified subcategory as to type of milk. Additional details include nesquik; Hershey's."
11513500,"The image shows the food category of chocolate milk, made from syrup with whole milk. Additional details include nesquik; Hershey's."
11513550,"The image shows the food category of chocolate milk, made from syrup with reduced fat milk. Additional details include nesquik; Hershey's; 2% fat."
11513600,"The image shows the food category of chocolate milk, made from syrup with low fat milk. Additional details include nesquik; Hershey's; 1% fat."
11513700,"The image shows the food category of chocolate milk, made from syrup with fat free milk. Additional details include nonfat milk; Nesquik; Hershey's; skim."
11513750,"The image shows the food category of chocolate milk, made from syrup with non-dairy milk. Additional details include almond, coconut, rice, or soy milk."
11513801,"The image shows the food category of chocolate milk, made from light syrup with whole milk. Additional details include hershey's Lite."
11513802,"The image shows the food category of chocolate milk, made from light syrup with reduced fat milk. Additional details include hershey's Lite; 2% fat."
11513803,"The image shows the food category of chocolate milk, made from light syrup with low fat milk. Additional details include hershey's Lite; 1% fat."
11513804,"The image shows the food category of chocolate milk, made from light syrup with fat free milk. Additional details include nonfat milk; Hershey's Lite; skim fat."
11513851,"The image shows the food category of chocolate milk, made from sugar free syrup with whole milk. Additional details include hershey's."
11514100,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and water. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; mint flavored."
11514110,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and whole milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation."
11514120,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and reduced fat milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; not specified subcategory as to type of milk; 2% fat."
11514130,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and low fat milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; 1% fat."
11514140,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and fat free milk. Additional details include nonfat milk; cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; skim."
11514150,"The image shows the food category of hot chocolate / Cocoa, made with dry mix and non-dairy milk. Additional details include almond, coconut, rice, and soy milk; cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation."
11514310,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and water. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation."
11514320,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and whole milk. Additional details include fat free, light, diet or sugar free; Swiss Miss; Hershey's; Nestle's; Carnation."
11514330,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; not specified subcategory as to type of milk; 2% fat."
11514340,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Nestle's; Carnation; H ershey's; 1% fat."
11514350,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk. Additional details include nonfat milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; skim."
11514360,"The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk. Additional details include almond, coconut, rice, and soy milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation."
11519040,"The image shows the food category of strawberry milk, not further specified subcategory assigned. Additional details include not specified subcategory as to milk or drink; vanilla; flavors other than chocolate."
11519050,"The image shows the food category of strawberry milk, whole. Additional details include flavors other than chocolate; vanilla."
11519105,"The image shows the food category of strawberry milk, reduced fat. Additional details include vanilla; flavors other than chocolate; 2% fat."
11519200,"The image shows the food category of strawberry milk, low fat. Additional details include vanilla; flavors other than chocolate; 1% fat."
11519205,"The image shows the food category of strawberry milk, fat free. Additional details include nonfat milk; vanilla; flavors other than chocolate; skim."
11519210,"The image shows the food category of strawberry milk, reduced sugar. Additional details include vanilla; flavors other than chocolate."
11519215,"The image shows the food category of strawberry milk, non-dairy. Additional details include almond, coconut, rice, or soy milk."
11526000,"The image shows the food category of milk, malted. Additional details include ovaltine; not specified subcategory as to flavor; all flavors."
11531000,"The image shows the food category of eggnog. Additional details include eggnog, not further specified subcategory assigned; made with whole milk."
11541110,"The image shows the food category of milk shake, home recipe, chocolate. Additional details include regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix."
11541120,"The image shows the food category of milk shake, home recipe, flavors other than chocolate. Additional details include regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix; not specified subcategory as to flavor."
11541130,"The image shows the food category of milk shake, home recipe, chocolate, light. Additional details include reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk; restaurant or ice cream shop."
11541135,"The image shows the food category of milk shake, home recipe, flavors other than chocolate, light. Additional details include reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk; restaurant or ice cream shop; not specified subcategory as to flavor."
11541400,The image shows the food category of milk shake with malt. Additional details include malted milk with ice cream.
11542100,"The image shows the food category of milk shake, fast food, chocolate. Additional details include burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place."
11542200,"The image shows the food category of milk shake, fast food, flavors other than chocolate. Additional details include burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place; not specified subcategory as to flavor or type."
11543000,"The image shows the food category of milk shake, bottled, chocolate. Additional details include canned; reconstituted dry mix; Hershey's; Chug."
11543010,"The image shows the food category of milk shake, bottled, flavors other than chocolate. Additional details include canned; reconstituted dry mix; Hershey's; Chug."
11551050,The image shows the food category of licuado or Batido. Additional details include milk fruit drink.
11553100,"The image shows the food category of fruit smoothie, not further specified subcategory assigned."
11553110,"The image shows the food category of fruit smoothie, with whole fruit and dairy. Additional details include with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King."
11553120,"The image shows the food category of fruit smoothie, with whole fruit and dairy, added protein. Additional details include with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King."
11553130,"The image shows the food category of fruit smoothie juice drink, with dairy. Additional details include milk, yogurt, ice cream, or sherbet; fast food smoothie, not further specified subcategory assigned; Dairy Queen; Jack-in-the-Box; frozen mix; Orange Julius; Julius, all flavors; from other place; McDonald's Smoothies, not further specified subcategory assigned."
11560000,The image shows the food category of chocolate milk drink. Additional details include yoo-hoo; other flavors.
11710000,"The image shows the food category of infant formula, not further specified subcategory assigned."
11710030,"The image shows the food category of infant formula, Similac, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710051,"The image shows the food category of infant formula, Similac Alimentum, ready-to-feed."
11710056,"The image shows the food category of infant formula, Similac Alimentum, powder, made with water."
11710351,"The image shows the food category of infant formula, Similac Advance, ready-to-feed. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710357,"The image shows the food category of infant formula, Similac Advance, powder, made with tap water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710358,"The image shows the food category of infant formula, Similac Advance, powder, made with bottled water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710359,"The image shows the food category of infant formula, Similac Advance, powder, made with baby water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin; other water."
11710371,"The image shows the food category of infant formula, Similac Sensitive, ready-to-feed. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710377,"The image shows the food category of infant formula, Similac Sensitive, powder, made with tap water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710378,"The image shows the food category of infant formula, Similac Sensitive, powder, made with bottled water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710379,"The image shows the food category of infant formula, Similac Sensitive, powder, made with baby water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort; other water."
11710381,"The image shows the food category of infant formula, Similac for Spit-Up, ready-to-feed."
11710383,"The image shows the food category of infant formula, Similac for Spit-Up, powder, made with water."
11710481,"The image shows the food category of toddler formula, Similac Go and Grow. Additional details include similac varieties Go and Grow Sensitive, Pure Bliss Toddler, Lamehadrin Toddler; EleCare Jr."
11710605,"The image shows the food category of infant formula, Enfamil, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710621,"The image shows the food category of infant formula, Enfamil Premium Newborn, ready-to-feed. Additional details include enfamil Newborn."
11710629,"The image shows the food category of infant formula, Enfamil Premium Newborn, powder, made with water. Additional details include enfamil Newborn."
11710631,"The image shows the food category of infant formula, Enfamil Infant, ready-to-feed. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710637,"The image shows the food category of infant formula, Enfamil Infant, powder, made with tap water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710638,"The image shows the food category of infant formula, Enfamil Infant, powder, made with bottled water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710639,"The image shows the food category of infant formula, Enfamil Infant, powder, made with baby water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline; other water."
11710661,"The image shows the food category of infant formula, Enfamil AR, ready-to-feed."
11710669,"The image shows the food category of infant formula, Enfamil AR, powder, made with water."
11710671,"The image shows the food category of infant formula, Enfamil Gentlease, ready-to-feed. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710677,"The image shows the food category of infant formula, Enfamil Gentlease, powder, made with tap water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710678,"The image shows the food category of infant formula, Enfamil Gentlease, powder, made with bottled water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710679,"The image shows the food category of infant formula, Enfamil Gentlease, powder, made with baby water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease; other water."
11710689,"The image shows the food category of toddler formula, Enfamil Enfagrow. Additional details include enfagrow Toddler varieties Transitions, Next Step, Gentlease, Soy; Nutramigen with Enflora LGG Toddler; PurAmino Toddler."
11710801,"The image shows the food category of toddler formula, PediaSure. Additional details include pediaSure varieties Grow and Gain, with Fiber, Sidekicks."
11710807,"The image shows the food category of toddler formula, Nido Kinder."
11710810,"The image shows the food category of toddler formula, store brand, beginning or next stage. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710815,"The image shows the food category of toddler formula, store brand, pediatric shake. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710905,"The image shows the food category of infant formula, Gerber, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710911,"The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710917,"The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710918,"The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710919,"The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water. Additional details include gerber varieties Soothe Stage 1, Supplementing; other water."
11710921,"The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 2. Additional details include gerber Good Start Soothe, Stage 2."
11710930,"The image shows the food category of toddler formula, Gerber Good Start, Stage 3. Additional details include gerber varieties Grow, Soy."
11710935,"The image shows the food category of infant formula, premature, powder, made with water. Additional details include enfamil Premature or EnfaCare; Similac Premature or NeoSure."
11710945,"The image shows the food category of infant formula, premature, ready-to-feed. Additional details include enfamil Premature or EnfaCare; Similac Premature or NeoSure."
11710954,"The image shows the food category of infant formula, organic, powder, made with water. Additional details include store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic."
11710955,"The image shows the food category of infant formula, organic, ready-to-feed. Additional details include store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic."
11710967,"The image shows the food category of infant formula, store brand, advantage or tender, powder, made with tap water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation."
11710968,"The image shows the food category of infant formula, store brand, advantage or tender, powder, made with bottled water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation."
11710969,"The image shows the food category of infant formula, store brand, advantage or tender, powder, made with baby water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation; other water."
11710970,"The image shows the food category of infant formula, store brand, gentle or sensitivity. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710980,"The image shows the food category of infant formula, store brand, added rice. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11720311,"The image shows the food category of infant formula, Enfamil ProSobee, ready-to-feed."
11720317,"The image shows the food category of infant formula, Enfamil ProSobee, powder, made with tap water."
11720318,"The image shows the food category of infant formula, Enfamil ProSobee, powder, made with bottled water."
11720319,"The image shows the food category of infant formula, Enfamil ProSobee, powder, made with baby water. Additional details include other water."
11720411,"The image shows the food category of infant formula, Similac Isomil Soy, ready-to-feed."
11720417,"The image shows the food category of infant formula, Similac Isomil Soy, powder, made with tap water."
11720418,"The image shows the food category of infant formula, Similac Isomil Soy, powder, made with bottled water."
11720419,"The image shows the food category of infant formula, Similac Isomil Soy, powder, made with baby water. Additional details include other water."
11720430,"The image shows the food category of infant formula, Similac for Diarrhea."
11720611,"The image shows the food category of infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed."
11720617,"The image shows the food category of infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water."
11720618,"The image shows the food category of infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water."
11720619,"The image shows the food category of infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water. Additional details include other water."
11720809,"The image shows the food category of infant formula, store brand, soy. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation."
11740311,"The image shows the food category of infant formula, Enfamil Nutramigen, ready-to-feed. Additional details include with Enflora LGG."
11740313,"The image shows the food category of infant formula, Enfamil Nutramigen, powder, made with water. Additional details include with Enflora LGG."
11740401,"The image shows the food category of infant formula, Enfamil Pregestimil, ready-to-feed."
11740403,"The image shows the food category of infant formula, Enfamil Pregestimil, powder, made with water."
11740405,"The image shows the food category of infant formula, amino acids. Additional details include eleCare Infant; Enfamil PurAmino."
11740560,"The image shows the food category of infant formula, low iron. Additional details include similac PM 60/40."
11810000,"The image shows the food category of milk, dry, not reconstituted, not specified subcategory as to fat content."
11813000,"The image shows the food category of milk, dry, not reconstituted, fat free (skim). Additional details include nonfat milk."
11825000,"The image shows the food category of whey, sweet, dry."
11830150,"The image shows the food category of cocoa powder, not reconstituted. Additional details include no dry milk."
11830160,"The image shows the food category of chocolate beverage powder, dry mix, not reconstituted. Additional details include all types; hot chocolate / cocoa dry mix."
11830165,"The image shows the food category of chocolate beverage powder, light, dry mix, not reconstituted. Additional details include reduced calorie; sugar free."
11830260,"The image shows the food category of milk, malted, dry mix, not reconstituted. Additional details include ovaltine; not specified subcategory as to flavor."
11830400,"The image shows the food category of strawberry beverage powder, dry mix, not reconstituted. Additional details include flavors other than chocolate."
12100100,"The image shows the food category of cream, not specified subcategory as to light, heavy, or half and half."
12110100,"The image shows the food category of cream, light. Additional details include coffee cream; table cream."
12120100,"The image shows the food category of cream, half and half. Additional details include plain."
12120106,"The image shows the food category of cream, half and half, flavored."
12120110,"The image shows the food category of cream, half and half, fat free. Additional details include low fat; plain or flavored."
12130100,"The image shows the food category of cream, heavy. Additional details include whipping cream; not specified subcategory as to heavy or light."
12140000,"The image shows the food category of cream, whipped. Additional details include heavy; light; Reddiwip; real whipped cream; plain or flavored."
12200100,"The image shows the food category of coffee creamer, not further specified subcategory assigned."
12210200,"The image shows the food category of coffee creamer, liquid. Additional details include frozen; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain."
12210210,"The image shows the food category of coffee creamer, liquid, flavored. Additional details include coffee Mate; Bailey's; Bliss; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix."
12210260,"The image shows the food category of coffee creamer, liquid, fat free. Additional details include low fat; light; lite; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain."
