Food code,Main Food description,Rank,Rank 2011-2012,Rank 2013-2014,Rank 2015-2016,Rank 2017 Pre-pandemic
63223020,"The image shows the food category of strawberries, raw. Additional details include strawberries, not further specified subcategory assigned.",35,53.0,39.0,34.0,30.0
93101000,"The image shows the food category of beer. Additional details include beer, regular; not specified subcategory as to type.",36,44.0,43.0,38.0,34.0
92302000,"The image shows the food category of tea, hot, leaf, black. Additional details include tea bags; spiced, lemon- or other fruit-flavored tea; unsweetened; brewed; chai tea; black tea blends; tea, not specified subcategory as to type.",37,27.0,51.0,51.0,38.0
42202000,The image shows the food category of peanut butter. Additional details include not specified subcategory as to type.,38,32.0,27.0,66.0,62.0
25230210,"The image shows the food category of ham, prepackaged or deli, luncheon meat. Additional details include boiled ham; all fat levels - regular, reduced fat, low fat or fat free; lean or extra lean; ham lunch meat, not further specified subcategory assigned.",39,43.0,40.0,27.0,63.0
52215100,"The image shows the food category of tortilla, corn.",40,52.0,53.0,26.0,48.0
11113000,"The image shows the food category of milk, fat free (skim). Additional details include nonfat milk; 0.5% or less fat.",41,29.0,32.0,52.0,78.0
14010000,"The image shows the food category of cheese, not further specified subcategory assigned.",42,54.0,59.0,42.0,32.0
61210250,"The image shows the food category of orange juice, 100%, with calcium added, canned, bottled or in a carton. Additional details include tropicana; Minute Maid; Florida's Natural; Donald Duck; store brand; with calcium and vitamin D added; Simply Orange with Calcium.",43,36.0,44.0,44.0,70.0
91745020,,44,40.0,46.0,41.0,69.0
51150000,"The image shows the food category of roll, white, soft. Additional details include potato roll; onion roll; roll made from mix; soft, seeded roll; brown 'n' serve; white roll, not specified subcategory as to soft or hard; dinner roll.",45,18.0,71.0,79.0,82.0
83112500,,46,48.0,37.0,45.0,67.0
75111000,"The image shows the food category of cucumber, raw. Additional details include cucumber, not further specified subcategory assigned.",47,57.0,49.0,46.0,40.0
92410360,"The image shows the food category of soft drink, pepper type. Additional details include dr. Pepper; Mr. Pibb; Pibb Xtra.",48,49.0,64.0,48.0,46.0
71201015,,49,19.0,18.0,,
92410550,"The image shows the food category of soft drink, fruit flavored, caffeine containing. Additional details include mellow Yellow; Mountain Dew; Big Red; Sunkist Orange; Mountain Dew, not specified subcategory as to caffeine; Ruby Red Squirt; Moon Mist; Ale 8; Mountain Dew Code Red; Inca Kola; Cheerwine.",50,56.0,52.0,57.0,50.0
92308000,"The image shows the food category of tea, iced, brewed, black, pre-sweetened with sugar. Additional details include sweet tea; leaf, bag, or vending; McDonald's Iced Sweet Tea; black and fruit, green, herbal, white, or other tea blends; not specified subcategory as to regular or decaffeinated; iced tea, not specified subcategory as to type; not specified subcategory as to sweetener.",51,,55.0,32.0,28.0
12210400,"The image shows the food category of coffee creamer, powder. Additional details include coffee Mate; Cremora; Carnation; plain.",52,68.0,58.0,47.0,49.0
22600200,"The image shows the food category of pork bacon, not specified subcategory as to fresh, smoked or cured, cooked.",53,66.0,60.0,50.0,53.0
95320200,"The image shows the food category of sports drink (Gatorade G). Additional details include all flavors; Gatorade, not further specified subcategory assigned.",54,64.0,61.0,56.0,51.0
92541010,"The image shows the food category of fruit flavored drink, powdered, reconstituted. Additional details include kool-Aid, not specified subcategory as to sweetener; Wylers, not specified subcategory as to sweetener; Country Time lemonade, made from dry mix; Flavor Aid; lemonade from powdered mix, not specified subcategory as to brand; store brand.",55,46.0,56.0,68.0,71.0
56205002,"The image shows the food category of rice, white, cooked, made with oil. Additional details include basmati or jasmine rice.",56,42.0,45.0,62.0,104.0
12210210,"The image shows the food category of coffee creamer, liquid, flavored. Additional details include coffee Mate; Bailey's; Bliss; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix.",57,85.0,62.0,65.0,43.0
51300110,"The image shows the food category of bread, whole wheat. Additional details include pre-sliced, commercial; whole grain.",58,59.0,48.0,58.0,107.0
54401080,,59,24.0,22.0,,
91107000,"The image shows the food category of sugar substitute, sucralose, powder. Additional details include splenda; yellow / gold packet or package.",60,67.0,65.0,55.0,85.0
83106000,"The image shows the food category of italian dressing, made with vinegar and oil. Additional details include vinaigrette dressing; vinegar and oil; Italian dressing, not further specified subcategory assigned; Greek dressing; Feta cheese dressing; Champagne dressing; celery seed dressing; onion or Vidalia onion dressing; red wine, balsamic, or raspberry vinegar dressing.",61,73.0,66.0,75.0,60.0
25221405,"The image shows the food category of pork sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage, not specified subcategory as to meat; brown and serve sausage, not further specified subcategory assigned; smoked sausage, not further specified subcategory assigned; Half smoke.",62,70.0,77.0,61.0,61.0
12120100,"The image shows the food category of cream, half and half. Additional details include plain.",63,107.0,81.0,74.0,47.0
63149010,"The image shows the food category of watermelon, raw.",64,82.0,78.0,54.0,68.0
91302010,The image shows the food category of honey.,65,77.0,90.0,63.0,55.0
74406010,The image shows the food category of barbecue sauce. Additional details include bBQ sauce.,66,86.0,75.0,70.0,56.0
93102000,"The image shows the food category of beer, light. Additional details include lite.",67,71.0,68.0,72.0,76.0
31103010,"The image shows the food category of egg, whole, boiled or poached. Additional details include soft boiled or hard boiled egg; egg, cooked, no fat or milk added.",68,92.0,94.0,67.0,54.0
81101010,"The image shows the food category of butter, tub. Additional details include individual container.",69,78.0,67.0,53.0,92.0
91401000,The image shows the food category of jelly.,70,50.0,63.0,108.0,114.0
89902020,"The image shows the food category of lettuce, for use on a sandwich. Additional details include all kinds.",71,,,,16.0
51101010,"The image shows the food category of bread, white, toasted. Additional details include diet sliced or very thin sliced; English muffin bread; pre-sliced, commercial.",72,69.0,70.0,88.0,88.0
58407030,"The image shows the food category of soup, mostly noodles. Additional details include spaghetti or noodle soup; Top Ramen; Asian Noodle Soup; meat flavors; saimin soup; Oodles of Noodles; Cup Noodles; Maruchan Instant Lunch; Nissin noodle soups; Souper Meal.",73,94.0,104.0,77.0,57.0
92309000,"The image shows the food category of tea, iced, bottled, black. Additional details include can, carton, or fountain; sweet tea; black and fruit, green, herbal, white, or other tea blends; not specified subcategory as to type of tea; Snapple, all flavors.",74,,72.0,59.0,52.0
64100110,"The image shows the food category of fruit juice blend, 100% juice. Additional details include juicy Juice blends; Welch's 100% juice blends; Capri Sun 100% juice blends; Apple and Eve 100% juice blends; Snapple 100% Juiced.",75,65.0,84.0,106.0,95.0
58106555,"The image shows the food category of pizza with pepperoni, from restaurant or fast food,  medium crust. Additional details include original, hand-tossed, or not specified subcategory as to type of crust; from street vendor.",76,131.0,83.0,76.0,72.0
14107030,"The image shows the food category of cheese, Mozzarella, part skim. Additional details include chedarella Cheese; string cheese; cheese sticks, not specified subcategory as to type of cheese; Poly-O; Stringsters; County Line; Richfood; Mootown Snackers; Sorrento; lowfat; reduced fat; made with 2% milk.",77,84.0,76.0,85.0,93.0
12210200,"The image shows the food category of coffee creamer, liquid. Additional details include frozen; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain.",78,134.0,106.0,71.0,65.0
92111010,"The image shows the food category of coffee, brewed, decaffeinated. Additional details include coffee singles, bags, pods, or K-cups.",79,104.0,91.0,95.0,74.0
31105030,"The image shows the food category of egg, whole, fried with oil. Additional details include over easy, medium, or hard; sunny side up.",80,87.0,73.0,86.0,108.0
63105010,"The image shows the food category of avocado, raw.",81,125.0,103.0,64.0,79.0
54325000,"The image shows the food category of crackers, saltine. Additional details include soda crackers; Premium; Zesta; saltine, not further specified subcategory assigned.",82,79.0,97.0,83.0,100.0
71200100,"The image shows the food category of potato chips, plain. Additional details include regular or kettle cut; salted; original; not specified subcategory as to flavor; not specified subcategory as to regular or ruffled.",83,,,43.0,42.0
52215200,"The image shows the food category of tortilla, flour. Additional details include spinach, tomato, and other flavors.",84,100.0,95.0,69.0,119.0
89902070,"The image shows the food category of tomatoes, for use on a sandwich.",85,,,,19.0
53209015,"The image shows the food category of cookie, chocolate sandwich. Additional details include oreo.",86,93.0,92.0,96.0,106.0
75511010,"The image shows the food category of hot pepper sauce. Additional details include tabasco sauce; hot sauce, not further specified subcategory assigned.",87,454.0,477.0,393.0,24.0
55101000,"The image shows the food category of pancakes, plain. Additional details include buttermilk; hot cakes.",88,72.0,82.0,120.0,130.0
91300100,The image shows the food category of pancake syrup. Additional details include cane; buttered blends; maple; maple cream.,89,525.0,174.0,145.0,39.0
93401010,"The image shows the food category of wine, table, red. Additional details include burgundy; cabernet; claret; chianti; dry sherry; homemade wine; merlot; pinot noir; zinfandel; not specified subcategory as to type.",90,97.0,93.0,101.0,109.0
91708030,,91,83.0,88.0,84.0,154.0
92306000,"The image shows the food category of tea, hot, herbal. Additional details include herbal tea, not further specified subcategory assigned; unsweetened; leaf; tea bags; brewed; rooibos tea; mate tea; caraway seed tea.",92,108.0,113.0,104.0,91.0
32130010,"The image shows the food category of egg omelet or scrambled egg, made with oil.",93,74.0,87.0,123.0,148.0
91705010,"The image shows the food category of chocolate candy. Additional details include chocolate egg; Dove; Hershey bar, kiss, or nugget.",94,112.0,101.0,99.0,101.0
11100000,"The image shows the food category of milk, not further specified subcategory assigned.",95,110.0,110.0,78.0,113.0
91200040,"The image shows the food category of sugar substitute, saccharin, powder. Additional details include weight Watchers; Sweet 'n Low; Sugar Twin; pink packet or package.",96,117.0,89.0,103.0,110.0
92510610,The image shows the food category of fruit juice drink. Additional details include minute Maid fruit punch; Snapple juice drinks.,97,62.0,188.0,139.0,115.0
51154100,"The image shows the food category of roll, white, hamburger bun. Additional details include potato bun.",98,,36.0,111.0,232.0
41420300,The image shows the food category of soy sauce. Additional details include shoyu; tamari.,99,103.0,117.0,94.0,129.0
91745010,"The image shows the food category of candy, gummy. Additional details include all shapes; gumdrops; jelly beans; Hot Tamales, Mike and Ike, Sour Patch.",100,128.0,107.0,129.0,87.0
11432000,"The image shows the food category of yogurt, low fat milk, fruit. Additional details include go-Gurt Portable Yogurt tube; 1% fat; 2% fat; 99% fat free; light.",101,89.0,121.0,92.0,136.0
51301020,"The image shows the food category of bread, wheat or cracked wheat, toasted. Additional details include honey wheat; Roman Meal, not further specified subcategory assigned; wheatberry; spelt bread; pre-sliced, commercial; crushed wheat; buckwheat; wheat bran; wheat germ; branola; granola; honey bran.",102,96.0,116.0,109.0,118.0
63203010,"The image shows the food category of blueberries, raw. Additional details include blueberries, not further specified subcategory assigned.",103,183.0,114.0,112.0,86.0
57241000,"The image shows the food category of cereal, O's, honey nut. Additional details include cheerios, Honey Nut.",104,105.0,120.0,131.0,111.0
54401050,,105,51.0,57.0,,
25230310,,106,60.0,50.0,,
21500100,"The image shows the food category of beef, ground.",107,58.0,74.0,360.0,581.0
57123000,"The image shows the food category of cereal, O's, plain. Additional details include cheerios; Oh's; oat cereal.",108,109.0,105.0,117.0,147.0
92308020,"The image shows the food category of tea, iced, brewed, black, unsweetened. Additional details include leaf, bag, or vending; McDonald's Iced Tea; black and fruit, green, herbal, white, or other tea blends; not specified subcategory as to regular or decaffeinated; not specified subcategory as to type of tea.",109,,80.0,80.0,96.0
54301000,,110,55.0,54.0,,
63109010,"The image shows the food category of cantaloupe, raw. Additional details include melon, not further specified subcategory assigned; muskmelon.",111,132.0,112.0,107.0,134.0
72125100,"The image shows the food category of spinach, raw.",112,169.0,109.0,91.0,144.0
54401081,"The image shows the food category of cheese flavored corn snacks (Cheetos). Additional details include cheetos, puffs; Cheetos, crunchy; Cheetos Mix-Ups.",113,,,60.0,59.0
92552030,"The image shows the food category of fruit juice drink (Capri Sun). Additional details include capri Sun, not further specified subcategory assigned; Capri Sun 25% less sugar.",114,75.0,119.0,138.0,205.0
21101130,,115,99.0,115.0,127.0,171.0
58145112,"The image shows the food category of macaroni or noodles with cheese, made from packaged mix.",116,118.0,130.0,113.0,132.0
75503010,"The image shows the food category of pickles, dill. Additional details include sour.",117,88.0,102.0,121.0,256.0
12310100,"The image shows the food category of sour cream, regular.",118,153.0,160.0,167.0,84.0
57805000,"The image shows the food category of baby Toddler cereal, rice, dry. Additional details include dry baby cereal, not further specified subcategory assigned.",119,101.0,96.0,173.0,221.0
53105270,"The image shows the food category of cake or cupcake, chocolate with chocolate icing, bakery. Additional details include commercially packaged; other place.",120,111.0,108.0,134.0,196.0
92510955,"The image shows the food category of lemonade, fruit juice drink. Additional details include turkey Hill lemonade; Simply Lemonade; Minute Maid lemonade; Apple & Eve lemonade; Minute Maid Limeade; Simply Limeade; lemonade, freshly squeezed.",121,,128.0,93.0,90.0
61204010,"The image shows the food category of lemon juice, 100%, freshly squeezed.",122,292.0,125.0,89.0,131.0
81103080,"The image shows the food category of margarine-oil blend, tub. Additional details include individual container.",123,90.0,100.0,133.0,446.0
91611000,The image shows the food category of popsicle. Additional details include all flavors; ice pop; push pop; popsicles with sticks.,124,124.0,136.0,102.0,195.0
25230780,"The image shows the food category of turkey, prepackaged or deli, luncheon meat. Additional details include breast, loaf, turkey lunch meat, not further specified subcategory assigned; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean.",125,,,49.0,81.0
53241500,"The image shows the food category of cookie, butter or sugar. Additional details include jelly topped; sesame cookies; wedding cookies; Social Tea Biscuits (Nabisco); Pepperidge Farm Bordeaux; Pepperidge Farm Chessman; Pepperidge Farm Pirouette; Vanilla Margherite (Stella D'Oro); Snickerdoodles; butterfly wings; Lemon Cooler; tea cakes; Russian tea cakes.",126,138.0,161.0,125.0,122.0
92410710,"The image shows the food category of soft drink, root beer.",127,149.0,123.0,132.0,149.0
63141010,"The image shows the food category of pineapple, raw. Additional details include pineapple, not further specified subcategory assigned.",128,185.0,142.0,153.0,98.0
81102020,"The image shows the food category of margarine, tub. Additional details include individual container.",129,129.0,158.0,154.0,117.0
92303010,"The image shows the food category of tea, hot, leaf, green. Additional details include unsweetened; tea bags; brewed; Japanese green tea; green tea blends.",130,,111.0,97.0,103.0
75114000,"The image shows the food category of mixed salad greens, raw.",131,191.0,141.0,166.0,97.0
92552010,"The image shows the food category of fruit flavored drink, powdered, reconstituted, diet. Additional details include crystal Light; Sugar Free Kool-Aid; Wyler's Light; lemonade from low calorie powdered mix, not specified subcategory as to brand.",132,136.0,150.0,128.0,139.0
22600100,"The image shows the food category of bacon, not specified subcategory as to type of meat, cooked.",133,123.0,127.0,100.0,242.0
92510960,"The image shows the food category of lemonade, fruit flavored drink. Additional details include snapple lemonade; Country Time lemonade flavored drink, canned; lemonade, not further specified subcategory assigned; limeade, not further specified subcategory assigned.",134,,118.0,105.0,94.0
51160110,"The image shows the food category of roll, sweet, cinnamon bun, frosted. Additional details include honey bun; Little Debbie Honey Bun; Cinnabon; Pizza Hut Cinnamon Stick; Papa John’s Cinnapie; cinnamon breadstick.",135,152.0,172.0,119.0,145.0
14301010,"The image shows the food category of cream cheese, regular, plain.",136,182.0,140.0,136.0,140.0
72116000,"The image shows the food category of romaine lettuce, raw. Additional details include endive; chicory; escarole; green leaf.",137,180.0,126.0,152.0,146.0
51180010,The image shows the food category of bagel. Additional details include water bagel; flavored bagel; egg bagel; bialy; Bagel Thins.,138,143.0,145.0,164.0,156.0
92410610,"The image shows the food category of soft drink, ginger ale.",139,174.0,187.0,231.0,99.0
92410210,"The image shows the food category of water, carbonated, plain. Additional details include club soda; unflavored seltzer water; unsweetened.",140,220.0,165.0,146.0,116.0
74402200,"The image shows the food category of salsa, red, homemade. Additional details include salsa de chile rojo; salsa made with fruit (peach, mango, pineapple).",141,225.0,163.0,114.0,141.0
24198731,"The image shows the food category of chicken nuggets, from fast food. Additional details include mcDonald's Chicken McNuggets; Burger King; Wendy's; KFC Bites.",142,,,98.0,66.0
57349000,,143,116.0,135.0,135.0,273.0
58106225,"The image shows the food category of pizza, cheese, from restaurant or fast food, medium crust. Additional details include not specified subcategory as to toppings; original or hand-tossed pizza; from street vendor.",144,184.0,173.0,157.0,123.0
58101345,,145,190.0,148.0,90.0,244.0
14108010,"The image shows the food category of cheese, Parmesan, dry grated. Additional details include romano, grated; Asiago, aged.",146,159.0,168.0,147.0,150.0
92410350,"The image shows the food category of soft drink, cola, decaffeinated, diet. Additional details include caffeine free Diet Coke; caffeine free Diet Pepsi; Diet Rite Cola; sugar free.",147,119.0,138.0,204.0,180.0
63135010,"The image shows the food category of peach, raw. Additional details include peach, not further specified subcategory assigned.",148,145.0,132.0,168.0,190.0
64100200,"The image shows the food category of cranberry juice blend, 100% juice. Additional details include ocean Spray 100% Juice Blends, all flavors; ""cranberry juice, 100% juice"".",149,144.0,176.0,156.0,157.0
91750000,"The image shows the food category of candy, taffy. Additional details include now and Later; Starburst; Airheads; Laffy Taffy; candy corn.",150,165.0,155.0,196.0,137.0
63137010,"The image shows the food category of pear, raw. Additional details include pear, not further specified subcategory assigned.",151,142.0,151.0,149.0,183.0
93401020,"The image shows the food category of wine, table, white. Additional details include chardonnay; chablis; champagne; homemade wine; pinot blanc; pinot gris (grigio); reisling; rhine; sauterne; sauvignon blanc.",152,156.0,144.0,174.0,160.0
51185000,The image shows the food category of croutons. Additional details include seasoned bread crumbs.,153,170.0,157.0,190.0,143.0
54401110,"The image shows the food category of tortilla chips, nacho cheese flavor (Doritos).",154,,,82.0,75.0
24122120,,155,81.0,69.0,,
83110000,"The image shows the food category of mayonnaise-type salad dressing. Additional details include miracle Whip; Mayonnaise-type salad dressing, not further specified subcategory assigned.",156,135.0,137.0,160.0,261.0
11710359,"The image shows the food category of infant formula, Similac Advance, powder, made with baby water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin; other water.",157,163.0,183.0,116.0,204.0
54401075,"The image shows the food category of tortilla chips, plain. Additional details include original; Tostitos; tostada chips; multigrain; plain nacho chips.",158,,,81.0,77.0
51300120,"The image shows the food category of bread, whole wheat, toasted. Additional details include pre-sliced, commercial; whole grain.",159,209.0,134.0,170.0,165.0
14109010,"The image shows the food category of cheese, Swiss. Additional details include emmentaler; Jarlsburg; Samsoe; Danbo; Sweitzer; Sapsago.",160,157.0,124.0,177.0,234.0
89902040,"The image shows the food category of onions, for use on a sandwich.",161,,,,45.0
56205001,"The image shows the food category of rice, white, cooked, not specified subcategory as to fat. Additional details include basmati or jasmine rice.",162,,,73.0,89.0
71401031,"The image shows the food category of potato, french fries, restaurant. Additional details include other place.",163,,,87.0,83.0
54102010,"The image shows the food category of graham crackers. Additional details include honeymaid Sticks; all flavors; graham crackers, not further specified subcategory assigned; Honeymaid Lil' Squares; Keebler Grahams; Keebler Elfin Crackers; Keebler Scooby Doo Cracker Sticks; Goldfish Grahams.",164,160.0,171.0,180.0,175.0
57213000,,165,133.0,166.0,143.0,335.0
52103000,"The image shows the food category of biscuit, from fast food / restaurant. Additional details include regular; plain; buttermilk; ready-to-eat.",166,177.0,224.0,178.0,153.0
53530000,The image shows the food category of breakfast tart. Additional details include pop Tart; with or without frosting; pasrty crisp.,167,186.0,177.0,181.0,176.0
61125010,"The image shows the food category of tangerine, raw. Additional details include tangelo.",168,226.0,152.0,115.0,274.0
28500040,"The image shows the food category of gravy, beef. Additional details include brown; meat; mushroom.",169,126.0,159.0,189.0,305.0
51107010,"The image shows the food category of bread, French or Vienna. Additional details include baguette; pre-sliced or not.",170,179.0,179.0,158.0,207.0
61204000,"The image shows the food category of lemon juice, 100%, not specified subcategory as to form.",171,172.0,167.0,304.0,162.0
74404010,"The image shows the food category of spaghetti sauce. Additional details include tomato-based, marinara, or red sauce; pizza sauce; spaghetti sauce, not further specified subcategory assigned.",172,192.0,169.0,195.0,187.0
53204010,"The image shows the food category of cookie, brownie, without icing. Additional details include with nuts; Entenmann's Fudge Brownie; brownie bites.",173,188.0,209.0,193.0,163.0
54403020,,174,80.0,85.0,,
24100000,"The image shows the food category of chicken, not specified subcategory as to part and cooking method, not specified subcategory as to skin eaten. Additional details include any source.",175,199.0,129.0,142.0,388.0
64104030,"The image shows the food category of apple juice, 100%, with calcium added. Additional details include minute Maid Apple Juice; Apple and Eve with calcium; Musselman's with calcium; Mott's Plus.",176,,131.0,137.0,155.0
51157000,"The image shows the food category of roll, white, hoagie, submarine. Additional details include steak roll; torpedo roll.",177,162.0,133.0,169.0,415.0
63129010,"The image shows the food category of mango, raw. Additional details include mango, not further specified subcategory assigned.",178,223.0,214.0,144.0,182.0
58145110,"The image shows the food category of macaroni or noodles with cheese. Additional details include macaroni casserole, not further specified subcategory assigned; macaroni and cheese, not further specified subcategory assigned; from home recipe, ready-to-eat, or frozen.",179,127.0,239.0,260.0,203.0
24198730,,180,91.0,86.0,,
64116020,"The image shows the food category of grape juice, 100%. Additional details include welch's; Seneca; Langers; 100% grape juice blends.",181,140.0,221.0,255.0,200.0
56205018,"The image shows the food category of rice, brown, cooked, no added fat. Additional details include made without fat.",182,141.0,201.0,163.0,314.0
11511200,"The image shows the food category of chocolate milk, ready to drink, reduced fat. Additional details include 2% fat.",183,147.0,205.0,184.0,259.0
92410340,"The image shows the food category of soft drink, cola, decaffeinated. Additional details include caffeine free Coke; caffeine free Pepsi.",184,150.0,195.0,224.0,226.0
54408010,,185,106.0,79.0,,
91715100,,186,173.0,190.0,159.0,292.0
22311000,The image shows the food category of ham. Additional details include sliced.,187,228.0,218.0,201.0,168.0
62125100,The image shows the food category of raisins.,188,204.0,259.0,165.0,181.0
53521110,"The image shows the food category of doughnut, yeast type. Additional details include honey dip; with non-chocolate icing; not specified subcategory as to type of icing; without icing; donut stick; sprinkle, not further specified subcategory assigned; glazed, not further specified subcategory assigned; maple; coconut; twist, not further specified subcategory assigned; cruller.",189,265.0,192.0,183.0,191.0
53120270,"The image shows the food category of cake or cupcake, white with white icing, bakery. Additional details include yellow or vanilla cake; other flavor icing; commercially packaged; other place.",190,158.0,263.0,185.0,236.0
14107010,"The image shows the food category of cheese, Mozzarella, not further specified subcategory assigned. Additional details include pizza cheese; cheese curds.",191,241.0,162.0,186.0,250.0
11320000,The image shows the food category of soy milk. Additional details include edensoy; vanilla flavored; Silk; West Soy; Soymilk; not specified subcategory as to type; Vitasoy.,192,167.0,182.0,271.0,247.0
53240000,"The image shows the food category of cookie, animal. Additional details include animal cracker; sweet crackers, not further specified subcategory assigned; Arrowroot cookie or biscuit; animal crackers labeled as ""lowfat"".",193,168.0,228.0,226.0,225.0
58104710,"The image shows the food category of quesadilla, cheese only.",194,202.0,194.0,221.0,222.0
